selection_category,cell_id,official_cycle_life,cutoff_cycle,family,cycle,true_soh,prediction_median,prediction_min,prediction_max
短寿命,MATR_b2c37,478.0,20,current_hybrid,21,1.0030015707015991,1.0023834705352783,1.0022788047790527,1.0025004148483276
短寿命,MATR_b2c37,478.0,20,current_hybrid,22,1.0030971765518188,1.002092719078064,1.0019468069076538,1.0022584199905396
短寿命,MATR_b2c37,478.0,20,current_hybrid,23,1.0031027793884277,1.0018593072891235,1.0016812086105347,1.0020614862442017
短寿命,MATR_b2c37,478.0,20,current_hybrid,24,1.0030995607376099,1.0016552209854126,1.0014504194259644,1.0018880367279053
短寿命,MATR_b2c37,478.0,20,current_hybrid,25,1.0032267570495605,1.0014698505401611,1.0012415647506714,1.0017293691635132
短寿命,MATR_b2c37,478.0,20,current_hybrid,26,1.0033069849014282,1.0012977123260498,1.0010484457015991,1.0015813112258911
短寿命,MATR_b2c37,478.0,20,current_hybrid,27,1.003395676612854,1.0011355876922607,1.0008671283721924,1.001441240310669
短寿命,MATR_b2c37,478.0,20,current_hybrid,28,1.003329873085022,1.0009816884994507,1.0006952285766602,1.001307487487793
短寿命,MATR_b2c37,478.0,20,current_hybrid,29,1.0033674240112305,1.0008341073989868,1.0005310773849487,1.0011789798736572
短寿命,MATR_b2c37,478.0,20,current_hybrid,30,1.0033595561981201,1.0006918907165527,1.000373363494873,1.0010550022125244
短寿命,MATR_b2c37,478.0,20,current_hybrid,31,1.0033422708511353,1.0005544424057007,1.0002210140228271,1.0009344816207886
短寿命,MATR_b2c37,478.0,20,current_hybrid,32,1.0034804344177246,1.0004210472106934,1.0000734329223633,1.0008171796798706
短寿命,MATR_b2c37,478.0,20,current_hybrid,33,1.003463625907898,1.000291109085083,0.9999301433563232,1.0007027387619019
短寿命,MATR_b2c37,478.0,20,current_hybrid,34,1.0034518241882324,1.0001643896102905,0.9997905492782593,1.0005909204483032
短寿命,MATR_b2c37,478.0,20,current_hybrid,35,1.0036042928695679,1.0000404119491577,0.9996541738510132,1.0004812479019165
短寿命,MATR_b2c37,478.0,20,current_hybrid,36,1.0036916732788086,0.9999189972877502,0.9995208382606506,1.0003736019134521
短寿命,MATR_b2c37,478.0,20,current_hybrid,37,1.0038371086120605,0.9997998476028442,0.999390184879303,1.000267744064331
